student_id,gender,age,study_hours_per_day,attendance_percentage,previous_exam_score,sleep_hours,screen_time_hours,extracurricular_activities,parental_education,internet_access,study_group,tutoring,final_exam_score
STU1018,Male,17,2.5,76.2,74.5,6.2,2.7,Yes,Bachelors,Yes,No,No,76.4
STU1019,Female,15,1.4,85.1,46.4,7.6,3.8,Yes,Masters,No,No,No,54.3
STU1020,Male,15,7.7,86.3,65.9,8.5,7.4,No,High School,Yes,No,No,86.5
STU1021,Male,18,4.0,73.1,69.2,,3.8,Yes,Bachelors,Yes,No,No,84.9
STU1022,Male,15,4.6,79.7,85.4,6.2,6.0,Yes,High School,Yes,No,Yes,84.0
STU1023,Female,17,1.4,100.0,45.4,8.4,4.1,Yes,Masters,Yes,No,No,65.1
STU1024,Female,17,3.3,100.0,20.0,4.2,3.1,No,High School,No,Yes,No,54.3
STU1025,Male,15,4.7,,67.8,6.3,3.6,Yes,Masters,Yes,Yes,Yes,98.3
STU1026,Male,15,2.0,80.5,92.0,7.1,3.7,Yes,High School,Yes,No,No,77.4
STU1027,Female,17,5.3,81.4,83.6,7.4,5.1,Yes,Masters,No,No,No,91.3
STU1028,Female,17,3.2,87.4,68.1,6.1,6.5,Yes,Bachelors,Yes,No,Yes,81.6
STU1029,Female,16,3.9,67.7,57.6,6.8,4.6,No,Masters,Yes,No,No,69.2
STU1030,Female,18,3.2,76.9,77.1,3.3,6.1,No,High School,No,No,No,54.7
STU1031,Male,15,8.6,60.0,50.4,5.9,2.3,Yes,Masters,Yes,Yes,No,86.8
STU1032,Female,18,4.5,84.8,72.1,7.4,3.3,Yes,High School,Yes,No,No,94.3
STU1033,Male,17,2.2,87.8,72.6,5.4,2.7,Yes,High School,Yes,No,No,78.5
STU1034,Male,18,6.3,74.2,80.9,6.9,4.6,Yes,Bachelors,Yes,Yes,Yes,91.5
STU1035,Female,15,1.8,98.9,100.0,7.4,3.4,Yes,High School,Yes,No,No,92.9
STU1036,Male,15,5.0,65.3,70.9,6.3,5.3,No,High School,No,No,No,83.4
STU1037,Female,18,0.2,62.4,57.4,7.0,2.3,No,PhD,Yes,No,No,67.2
STU1038,Male,15,1.6,82.7,64.6,5.5,4.1,No,PhD,Yes,No,No,75.6
STU1039,Female,16,4.9,92.6,38.5,6.5,5.2,No,Bachelors,No,No,No,66.6
STU1040,Female,17,6.1,100.0,54.6,7.7,0.3,No,PhD,Yes,No,No,88.5
STU1041,Male,17,4.9,,58.9,7.0,7.8,No,Bachelors,Yes,No,No,68.6
STU1042,Female,15,4.2,92.9,57.1,6.0,3.5,Yes,High School,Yes,No,No,76.0
STU1043,Male,17,3.8,79.5,67.3,7.1,0.4,No,Masters,No,Yes,No,86.7
STU1044,Female,16,1.2,77.9,52.7,7.8,4.3,No,Bachelors,Yes,No,No,70.4
STU1045,Male,15,2.9,90.6,81.8,3.9,4.1,No,PhD,Yes,Yes,No,93.9
STU1046,Female,16,3.5,87.8,65.0,8.4,3.9,No,High School,Yes,Yes,Yes,74.3
STU1047,Male,16,6.8,61.1,64.9,6.3,5.8,Yes,Bachelors,Yes,No,No,80.4
STU1048,Male,17,5.3,97.7,60.1,7.4,5.3,Yes,High School,No,Yes,No,86.0
STU1049,Male,17,0.6,96.6,67.3,8.5,4.5,No,High School,Yes,No,No,75.1
STU1050,Male,18,5.2,72.5,77.4,4.9,4.8,Yes,High School,Yes,Yes,No,79.9
STU1051,Female,16,3.7,84.7,52.0,5.8,3.8,No,PhD,No,No,No,88.1
STU1052,Female,17,3.0,,55.1,6.4,7.2,No,Masters,Yes,Yes,No,60.8
STU1053,Female,16,5.8,83.1,60.4,5.7,1.3,No,Masters,Yes,Yes,No,79.6
STU1054,Male,18,6.8,73.4,44.8,9.2,4.3,No,Bachelors,Yes,Yes,No,77.5
STU1055,Male,16,6.5,71.9,52.7,5.6,4.1,Yes,High School,Yes,No,Yes,90.8
STU1056,Male,15,2.7,79.7,57.9,6.0,5.5,Yes,High School,Yes,No,Yes,65.0
STU1057,Female,18,3.8,94.1,78.1,7.1,2.5,No,High School,No,Yes,No,85.5
STU1058,Female,18,5.2,86.5,68.9,5.1,0.9,No,Bachelors,Yes,No,No,92.9
STU1059,Male,16,6.6,75.6,67.9,6.2,4.3,No,Masters,Yes,No,No,85.7
STU1060,Male,16,3.4,89.3,77.8,,4.5,Yes,Bachelors,Yes,No,No,84.2
STU1061,Male,17,4.1,45.8,62.9,6.3,6.7,Yes,High School,Yes,No,No,65.7
STU1062,Female,15,2.1,93.8,70.9,6.7,1.7,No,High School,Yes,No,No,80.6
STU1063,Female,18,1.9,59.1,63.5,6.1,6.1,Yes,High School,Yes,Yes,No,67.8
STU1064,Female,18,6.3,75.7,69.0,4.7,8.3,No,Bachelors,No,No,Yes,86.6
STU1065,Male,18,7.5,66.6,56.3,7.3,3.3,Yes,PhD,Yes,No,No,87.8
STU1066,Female,17,4.3,64.5,28.4,9.3,1.7,No,Bachelors,Yes,No,No,60.6
STU1067,Female,15,6.7,93.9,63.0,6.8,3.3,No,Masters,Yes,Yes,No,93.3
STU1068,Male,18,5.3,74.4,86.3,7.1,4.0,No,Bachelors,No,Yes,No,93.6
STU1069,Female,18,3.1,84.2,78.9,7.8,5.0,Yes,Bachelors,Yes,No,No,84.8
STU1070,Male,17,5.3,79.4,79.5,5.0,2.9,No,High School,Yes,No,Yes,90.1
STU1071,Male,16,7.9,85.7,83.5,9.2,6.8,No,,Yes,No,No,100.0
STU1072,Female,18,4.4,80.9,66.3,7.1,2.0,Yes,Masters,No,No,Yes,96.7
STU1073,Male,15,7.9,64.6,68.0,9.1,0.9,No,High School,Yes,Yes,Yes,87.3
STU1074,Female,15,0.0,92.0,55.7,5.8,6.0,No,,Yes,No,No,58.8
STU1075,Female,15,6.3,74.1,60.3,9.3,0.0,No,Bachelors,Yes,No,Yes,87.3
STU1076,Male,15,4.7,61.3,74.2,7.9,3.6,No,Bachelors,Yes,No,No,78.5
STU1077,Female,17,3.8,74.9,83.1,7.6,9.6,Yes,PhD,Yes,Yes,No,87.7
STU1078,Male,18,4.7,,62.9,7.1,4.0,Yes,Bachelors,Yes,No,No,89.0
STU1079,Male,17,0.1,90.2,58.2,6.5,2.0,Yes,Bachelors,Yes,No,Yes,71.3
STU1080,Male,15,4.0,75.8,65.0,8.5,3.9,No,High School,No,Yes,No,63.7
STU1081,Male,15,5.3,75.8,74.0,,3.9,No,High School,No,No,No,75.2
STU1082,Male,15,7.8,76.1,43.3,4.0,4.3,No,High School,Yes,No,Yes,79.5
STU1083,Male,17,3.4,100.0,30.6,5.2,5.2,Yes,High School,No,Yes,No,41.4
STU1084,Male,15,2.7,84.6,56.7,6.5,2.1,Yes,Masters,Yes,No,No,82.4
STU1085,Male,18,3.4,,46.7,7.2,7.0,No,Masters,Yes,No,No,67.6
STU1086,Female,15,6.5,,57.4,6.7,4.4,No,High School,Yes,No,No,89.1
STU1087,Male,18,5.2,82.9,62.8,8.5,5.3,Yes,Masters,Yes,No,Yes,86.7
STU1088,Female,18,3.3,76.9,58.2,4.1,2.9,No,High School,Yes,No,No,54.1
STU1089,Female,15,5.6,77.6,86.8,7.0,6.3,Yes,High School,Yes,Yes,No,94.4
STU1090,Female,17,4.7,79.1,69.9,4.3,3.5,Yes,High School,Yes,No,Yes,91.0
STU1091,Male,16,6.6,79.6,69.5,,4.5,No,Bachelors,Yes,No,No,93.2
STU1092,Female,16,3.0,88.7,74.3,6.7,2.3,Yes,High School,Yes,No,No,79.4
STU1093,Female,18,3.8,80.6,47.9,7.4,2.2,No,Bachelors,Yes,No,No,70.3
STU1094,Female,17,3.6,,80.6,5.6,5.2,Yes,Bachelors,No,Yes,No,81.9
STU1095,Male,16,1.3,79.0,63.9,8.6,3.2,Yes,PhD,Yes,No,No,71.1
STU1096,Male,15,5.2,80.9,75.1,8.3,2.5,Yes,,Yes,No,No,95.7
STU1097,Female,15,5.1,56.0,48.9,7.6,2.8,No,High School,Yes,Yes,No,59.4
STU1098,Male,18,4.5,91.0,41.7,6.6,5.3,Yes,High School,Yes,No,Yes,65.4
STU1099,Male,17,4.0,84.2,77.3,,2.9,No,Bachelors,No,No,No,78.3
STU1100,Male,17,1.4,92.0,70.6,5.8,3.8,Yes,High School,Yes,No,Yes,69.4
STU1101,Female,16,3.6,45.2,51.5,8.0,4.0,Yes,,Yes,Yes,Yes,69.7
STU1102,Female,16,3.7,100.0,52.0,9.1,0.5,Yes,Bachelors,Yes,No,No,90.2
STU1103,Male,15,2.7,78.3,81.9,8.3,1.4,No,Bachelors,Yes,Yes,No,86.8
STU1104,Female,18,4.1,93.3,47.2,5.8,4.6,No,Bachelors,No,Yes,No,59.5
STU1105,Male,17,5.4,67.5,89.6,7.3,2.7,Yes,High School,Yes,No,No,98.5
STU1106,Male,16,8.6,87.4,51.5,5.0,5.9,No,High School,Yes,Yes,No,90.9
STU1107,Female,16,4.9,67.4,74.6,7.6,5.7,No,High School,Yes,Yes,No,75.7
STU1108,Female,18,5.1,72.5,60.1,7.4,5.3,Yes,Bachelors,Yes,Yes,No,74.8
STU1109,Female,18,4.3,100.0,74.0,4.2,7.3,No,High School,Yes,Yes,No,83.8
STU1110,Male,15,0.3,77.7,56.8,5.2,3.9,Yes,High School,Yes,Yes,No,69.8
STU1111,Female,18,4.4,82.6,62.6,6.4,5.2,No,PhD,Yes,No,No,75.8
STU1112,Male,15,4.6,90.4,65.6,6.4,2.9,No,High School,Yes,Yes,No,74.4
STU1113,Male,15,9.9,85.9,50.0,5.1,8.4,No,Masters,No,Yes,No,85.8
STU1114,Male,18,4.1,81.8,76.1,7.3,7.6,No,Masters,Yes,Yes,No,87.5
STU1115,Female,18,5.2,84.4,57.3,7.2,4.0,Yes,High School,Yes,No,No,78.0
STU1116,Female,18,4.4,100.0,61.6,6.5,4.7,No,High School,Yes,No,No,75.2
STU1117,Male,18,1.9,79.3,50.1,5.7,6.4,Yes,High School,Yes,No,No,63.6
STU1118,Male,18,7.0,82.4,26.6,8.3,3.7,Yes,Bachelors,Yes,No,No,72.7
STU1119,Female,15,6.2,,62.1,9.1,2.8,No,Bachelors,Yes,No,No,84.9
STU1120,Male,16,6.2,93.3,100.0,6.1,5.6,No,Masters,Yes,No,No,100.0
STU1121,Female,17,2.5,94.2,76.8,5.9,4.1,No,PhD,Yes,Yes,No,78.3
STU1122,Male,17,7.6,87.7,64.7,7.5,4.3,Yes,Bachelors,Yes,No,No,96.3
STU1123,Male,15,1.4,66.3,61.1,6.3,2.5,No,High School,Yes,No,No,60.6
STU1124,Female,15,5.8,99.6,65.3,6.6,0.9,No,High School,Yes,No,No,87.3
STU1125,Male,16,9.3,66.2,73.2,7.8,4.4,Yes,Masters,Yes,Yes,No,99.4
STU1126,Male,18,2.3,83.6,47.3,,5.6,Yes,High School,No,No,No,56.0
STU1127,Male,15,3.3,70.9,81.7,8.6,3.6,Yes,High School,No,Yes,No,88.7
STU1128,Female,17,4.7,79.2,75.7,6.9,6.6,Yes,Masters,Yes,Yes,Yes,94.0
STU1129,Female,18,3.4,83.9,75.8,6.2,2.7,No,Bachelors,Yes,No,No,81.9
STU1130,Male,15,1.1,83.9,71.6,6.7,2.1,No,PhD,Yes,No,No,82.9
STU1131,Male,18,4.7,85.1,65.3,6.7,3.9,No,Bachelors,Yes,No,No,82.8
STU1132,Female,17,2.2,99.4,75.1,4.4,3.9,No,High School,No,No,No,73.2
STU1133,Male,18,5.5,85.4,73.9,8.9,5.4,Yes,PhD,Yes,Yes,No,94.5
STU1134,Female,15,2.5,77.1,59.7,6.9,2.6,No,High School,Yes,Yes,Yes,73.0
STU1135,Male,15,7.9,91.6,56.4,7.4,6.5,Yes,High School,Yes,Yes,No,89.4
STU1136,Male,17,2.8,94.3,66.5,8.1,7.5,No,Bachelors,Yes,No,No,72.4
STU1137,Female,16,3.8,65.3,88.2,5.4,3.9,Yes,High School,Yes,Yes,No,82.6
STU1138,Male,16,6.3,87.2,46.4,7.5,6.2,No,Bachelors,Yes,Yes,No,86.8
STU1139,Female,18,1.8,88.4,43.0,6.4,2.1,Yes,High School,Yes,No,No,67.9
STU1140,Male,15,5.0,76.4,67.5,8.0,5.9,Yes,Bachelors,Yes,Yes,No,77.9
STU1141,Male,15,7.4,96.5,65.8,3.8,5.9,No,Bachelors,Yes,No,No,89.9
STU1142,Female,17,1.0,78.2,67.6,6.7,5.6,Yes,Masters,Yes,No,No,70.6
STU1143,Male,17,4.9,81.5,68.7,6.0,4.0,No,Masters,Yes,No,Yes,89.1
STU1144,Female,15,5.1,77.9,61.7,,0.0,Yes,High School,Yes,No,No,84.5
STU1145,Male,17,6.2,,87.3,7.5,2.8,No,Bachelors,Yes,No,No,100.0
STU1146,Female,16,1.8,66.8,41.0,5.8,2.9,Yes,Bachelors,No,Yes,No,56.8
STU1147,Female,16,1.6,62.7,52.6,5.8,2.2,Yes,High School,No,No,Yes,60.6
STU1148,Male,18,5.6,99.1,63.5,6.6,4.2,Yes,Masters,No,No,No,93.7
STU1149,Female,17,5.2,69.8,40.4,5.5,3.2,No,Masters,Yes,Yes,No,68.3
STU1150,Female,18,5.1,68.1,62.4,8.0,2.5,Yes,High School,Yes,Yes,No,81.0
STU1151,Male,17,5.3,54.2,89.9,6.3,2.1,Yes,Bachelors,Yes,No,No,92.9
STU1152,Female,17,3.0,,65.3,3.0,2.7,Yes,High School,No,No,No,66.7
STU1153,Female,16,5.0,64.1,68.5,6.3,6.0,Yes,Bachelors,No,No,Yes,78.1
STU1154,Male,15,5.1,99.7,46.1,5.3,2.8,No,,No,No,Yes,71.8
STU1155,Male,17,2.9,92.1,55.8,4.5,3.1,No,PhD,Yes,Yes,No,70.8
STU1156,Male,17,8.6,71.7,59.4,5.1,3.2,Yes,Masters,No,No,Yes,84.5
STU1157,Male,17,5.5,100.0,60.2,7.0,4.6,No,Bachelors,Yes,No,No,75.3
STU1158,Female,15,1.9,91.8,84.2,8.7,4.8,No,Bachelors,Yes,Yes,No,81.3
STU1159,Male,18,5.9,76.1,73.4,7.2,0.0,Yes,Masters,Yes,No,No,94.4
STU1160,Female,18,2.4,50.0,48.3,6.0,5.8,No,Bachelors,Yes,No,Yes,55.5
STU1161,Male,17,6.2,100.0,68.7,7.4,6.6,Yes,High School,Yes,No,Yes,90.9
STU1162,Male,17,7.0,63.3,72.5,6.2,2.1,No,,Yes,Yes,Yes,78.6
STU1163,Female,18,2.7,60.3,82.1,5.8,2.2,Yes,Masters,Yes,No,Yes,95.0
STU1164,Female,18,6.6,92.3,88.7,5.2,3.2,No,Bachelors,Yes,No,No,100.0
STU1165,Female,16,5.4,100.0,49.8,4.3,2.6,No,Bachelors,No,No,Yes,82.0
STU1166,Male,17,6.3,96.6,52.8,6.3,4.4,Yes,Masters,Yes,No,No,95.9
STU1167,Male,18,8.7,86.8,46.1,7.0,0.5,Yes,Masters,Yes,Yes,No,86.9
STU1168,Male,16,4.0,87.1,61.5,6.7,2.0,No,Masters,Yes,No,No,92.3
STU1169,Female,15,2.8,90.2,72.0,6.2,6.8,Yes,High School,No,No,Yes,71.7
STU1170,Male,17,2.5,89.1,79.8,5.5,2.3,No,,Yes,Yes,Yes,90.4
STU1171,Female,18,2.7,83.4,63.9,7.7,6.2,No,Masters,Yes,No,Yes,69.2
STU1172,Female,17,4.3,81.3,60.2,5.0,4.6,No,Masters,Yes,No,No,74.4
STU1173,Male,16,5.3,79.2,67.3,7.9,0.7,No,Bachelors,Yes,No,No,89.5
STU1174,Female,18,5.1,71.0,52.5,5.4,5.1,No,High School,Yes,Yes,No,66.4
STU1175,Female,15,6.3,76.6,96.3,5.7,3.8,No,Masters,No,No,No,100.0
STU1176,Female,15,4.5,59.7,40.9,4.7,3.2,No,Masters,Yes,No,No,60.4
STU1177,Male,16,7.7,78.8,67.8,6.1,4.4,No,High School,Yes,No,No,83.1
STU1178,Male,15,3.9,68.1,95.4,8.2,4.9,Yes,Bachelors,No,No,No,86.7
STU1179,Male,15,10.5,66.8,65.1,7.5,5.3,No,,No,No,No,93.3
STU1180,Male,15,5.9,82.2,62.1,8.2,6.1,No,High School,Yes,Yes,Yes,80.1
STU1181,Female,15,2.6,96.7,59.6,7.5,4.7,Yes,High School,No,No,No,77.5
STU1182,Female,15,2.1,91.0,62.3,5.3,1.5,No,Bachelors,Yes,No,No,81.3
STU1183,Male,15,5.6,61.2,85.6,6.3,3.1,No,Bachelors,Yes,No,No,78.3
STU1184,Female,15,4.0,68.1,31.8,5.7,9.3,Yes,Bachelors,Yes,Yes,No,57.2
STU1185,Female,18,6.1,,88.0,8.7,5.3,No,Bachelors,Yes,No,No,100.0
STU1186,Male,15,5.5,68.2,43.6,5.1,8.3,Yes,Masters,Yes,No,No,64.1
STU1187,Male,18,4.3,77.3,61.0,8.1,6.5,No,High School,Yes,No,No,74.6
STU1188,Female,17,2.6,86.6,58.6,8.1,4.4,Yes,High School,Yes,Yes,No,79.5
STU1189,Female,16,1.2,68.4,73.8,9.4,4.5,No,Masters,Yes,Yes,No,73.4
STU1190,Female,15,3.5,81.3,41.0,6.2,3.9,No,High School,Yes,No,No,61.0
STU1191,Male,16,6.4,64.0,71.9,7.8,0.9,Yes,PhD,Yes,Yes,No,87.7
STU1192,Male,15,5.0,72.8,95.4,10.0,4.0,No,Masters,Yes,No,No,100.0
STU1193,Male,18,1.8,83.8,44.6,5.9,6.2,No,Bachelors,Yes,Yes,No,60.3
STU1194,Female,15,4.9,60.9,67.8,4.7,2.9,Yes,PhD,Yes,No,No,83.4
STU1195,Female,17,5.3,85.3,55.1,4.2,4.7,No,High School,Yes,No,No,77.5
STU1196,Male,16,2.6,79.8,71.4,7.8,5.5,No,High School,Yes,No,No,68.5
STU1197,Female,16,4.8,86.6,65.3,4.2,2.4,Yes,Bachelors,Yes,No,Yes,83.1
STU1198,Female,17,4.6,82.7,55.4,6.3,3.2,Yes,Bachelors,Yes,No,No,87.8
STU1199,Female,18,2.0,96.4,72.3,7.4,2.2,Yes,PhD,No,Yes,Yes,90.2
STU1200,Female,18,5.3,81.5,92.1,7.1,2.5,Yes,High School,Yes,Yes,No,100.0
STU1201,Male,17,5.7,74.8,62.1,7.4,1.7,No,Bachelors,Yes,No,No,82.1
STU1202,Female,16,6.9,81.5,75.8,7.1,2.4,No,,Yes,No,No,89.5
STU1203,Male,15,6.8,86.5,45.6,8.6,6.6,Yes,Bachelors,No,No,Yes,88.8
STU1204,Male,18,1.5,80.6,50.7,5.5,2.4,Yes,High School,Yes,No,No,58.9
STU1205,Female,15,2.4,80.5,72.1,5.9,4.2,Yes,Bachelors,Yes,No,No,69.7
STU1206,Female,16,5.6,71.6,87.3,5.7,3.1,No,Masters,Yes,No,No,90.6
STU1207,Male,15,5.6,72.0,70.3,8.0,6.1,Yes,High School,Yes,Yes,Yes,74.5
STU1208,Female,17,5.6,63.2,60.3,8.1,6.4,No,Masters,Yes,No,No,70.5
STU1209,Female,18,12.0,100.0,65.0,7.4,5.6,No,Bachelors,Yes,No,No,99.8
STU1210,Female,18,5.8,65.1,46.2,8.5,4.6,Yes,Masters,Yes,No,Yes,80.3
STU1211,Male,17,7.0,71.7,74.1,5.2,3.6,No,Masters,Yes,No,No,85.1
STU1212,Female,17,6.6,71.4,78.2,9.1,1.9,No,High School,Yes,No,No,98.3
STU1213,Male,18,5.9,90.7,58.2,8.9,7.5,No,Bachelors,Yes,No,No,87.9
STU1214,Male,18,3.8,76.5,57.9,7.8,2.6,No,Masters,Yes,No,No,80.5
STU1215,Male,18,6.2,95.0,69.0,9.3,5.2,Yes,Bachelors,Yes,Yes,No,93.2
STU1216,Male,16,2.8,71.9,58.4,4.5,5.9,Yes,PhD,No,Yes,No,68.0
STU1217,Female,16,4.0,83.3,64.0,,3.0,No,Bachelors,No,No,No,66.4
STU1218,Female,16,3.4,70.0,96.5,5.8,5.9,Yes,High School,Yes,No,No,85.1
STU1219,Female,15,4.7,100.0,61.3,7.8,5.4,Yes,Bachelors,Yes,No,Yes,82.5
STU1220,Male,16,9.6,65.7,59.6,5.3,7.1,Yes,PhD,Yes,Yes,No,92.6
STU1221,Female,18,0.4,83.7,55.3,7.9,3.2,Yes,,Yes,Yes,No,80.6
STU1222,Female,16,6.0,87.6,76.2,8.7,1.7,No,Masters,Yes,No,No,100.0
STU1223,Female,18,1.0,85.0,62.3,7.8,3.1,Yes,Masters,No,No,No,59.4
STU1224,Female,17,3.5,77.8,55.3,7.2,4.4,No,Bachelors,Yes,No,No,66.9
STU1225,Female,15,6.9,78.4,84.8,5.4,4.1,No,High School,Yes,No,No,93.3
STU1226,Female,15,4.6,80.5,86.3,5.6,3.3,Yes,Masters,Yes,Yes,Yes,99.8
STU1227,Female,17,2.1,78.2,56.0,8.5,0.6,Yes,High School,Yes,No,No,67.4
STU1228,Male,18,2.9,91.6,37.0,7.9,4.8,No,Masters,Yes,No,No,64.5
STU1229,Female,15,6.0,100.0,80.1,6.7,7.6,Yes,Bachelors,Yes,Yes,No,88.0
STU1230,Male,16,2.9,73.3,54.7,6.2,4.8,No,Bachelors,Yes,No,Yes,62.3
STU1231,Male,18,5.0,63.6,76.9,4.0,5.1,No,Masters,No,Yes,No,82.3
STU1232,Female,15,4.6,78.9,35.4,5.3,5.0,Yes,Bachelors,Yes,Yes,Yes,60.4
STU1233,Male,17,3.1,100.0,78.4,9.5,4.7,No,Bachelors,No,Yes,Yes,95.6
STU1234,Female,18,9.2,70.4,46.8,5.0,5.7,No,Bachelors,No,Yes,Yes,71.1
STU1235,Male,15,5.9,99.7,76.0,7.1,4.7,Yes,Bachelors,Yes,No,No,100.0
STU1236,Male,17,0.0,100.0,65.2,8.2,3.4,No,Bachelors,Yes,No,No,67.6
STU1237,Male,18,4.9,73.4,50.7,5.0,2.6,No,Masters,Yes,No,No,70.0
STU1238,Male,16,3.0,86.8,58.9,7.1,3.6,Yes,Bachelors,No,No,No,74.9
STU1239,Female,18,6.4,99.5,75.3,8.1,4.6,No,Bachelors,Yes,Yes,No,94.0
STU1240,Male,16,2.8,75.5,66.6,6.8,3.4,No,Bachelors,Yes,Yes,No,75.7
STU1241,Male,18,4.2,77.6,73.8,10.0,4.6,No,,Yes,No,No,85.8
STU1242,Male,17,5.6,73.0,94.6,4.5,4.8,No,High School,Yes,No,No,96.3
STU1243,Male,16,6.4,67.8,41.5,8.3,5.5,No,PhD,No,Yes,No,75.3
STU1244,Female,16,1.9,72.2,89.3,6.6,6.3,Yes,Masters,Yes,No,No,80.9
STU1245,Male,18,3.8,65.3,66.6,7.9,4.1,No,Bachelors,Yes,No,No,73.0
STU1246,Female,15,3.5,80.4,51.5,7.4,1.6,Yes,Bachelors,Yes,No,No,87.6
STU1247,Female,16,3.1,70.8,45.0,5.8,3.4,No,High School,No,No,No,61.8
STU1248,Female,18,8.4,82.8,62.2,7.1,4.1,Yes,Bachelors,Yes,Yes,Yes,91.7
STU1249,Female,17,5.4,,78.8,4.2,0.7,Yes,Bachelors,Yes,No,No,87.4
STU1250,Male,18,1.7,84.0,63.1,7.6,6.5,Yes,Bachelors,Yes,Yes,No,68.7
STU1251,Male,18,6.5,90.0,87.7,7.2,4.3,No,Bachelors,Yes,No,No,98.9
STU1252,Female,16,9.2,56.1,43.2,7.7,4.7,Yes,High School,Yes,Yes,No,68.5
STU1253,Female,15,6.8,84.5,64.8,8.3,6.5,No,High School,Yes,No,No,80.6
STU1254,Female,17,1.2,94.7,46.2,7.3,2.9,Yes,PhD,Yes,Yes,No,81.7
STU1255,Female,16,3.4,65.5,70.5,7.0,5.0,Yes,Bachelors,Yes,No,No,78.1
STU1256,Male,16,7.3,100.0,78.3,5.6,3.8,Yes,Bachelors,Yes,No,Yes,89.8
STU1257,Male,16,2.9,85.0,58.7,5.8,3.7,No,High School,Yes,No,No,75.9
STU1258,Female,17,5.5,71.5,25.9,8.5,2.6,Yes,High School,Yes,No,No,67.8
STU1259,Female,15,6.2,79.3,68.0,8.8,7.0,Yes,Masters,No,No,Yes,86.8
STU1260,Male,17,2.5,86.7,71.6,6.5,3.3,Yes,Bachelors,No,No,No,82.4
STU1261,Female,17,4.4,80.9,71.1,6.9,5.3,Yes,Bachelors,Yes,No,No,76.7
STU1262,Male,15,0.0,86.5,83.5,5.5,0.6,No,High School,Yes,No,No,74.6
STU1263,Male,17,2.2,69.0,48.9,8.4,6.1,No,Masters,Yes,No,No,68.9
STU1264,Female,18,3.9,82.0,75.2,7.7,5.9,Yes,High School,Yes,No,No,79.6
STU1265,Female,17,1.8,63.0,82.9,9.5,4.2,No,High School,Yes,No,No,64.6
STU1266,Female,16,8.1,78.7,38.3,5.6,3.6,No,Bachelors,Yes,No,No,73.1
STU1267,Male,17,1.4,69.2,69.8,6.3,4.7,Yes,High School,Yes,No,No,66.5
STU1268,Male,16,3.5,71.2,57.4,7.1,8.1,No,High School,No,No,Yes,70.8
STU1269,Female,17,4.8,94.8,63.8,7.7,0.8,No,Bachelors,Yes,No,No,87.8
STU1270,Male,16,7.7,93.1,70.2,6.5,5.4,Yes,Bachelors,Yes,Yes,Yes,97.4
STU1271,Female,16,1.3,87.3,57.7,5.6,2.4,Yes,Masters,Yes,No,Yes,81.1
STU1272,Female,16,7.1,66.9,54.9,8.0,4.0,No,Bachelors,Yes,No,No,79.1
STU1273,Female,15,4.5,76.2,65.5,7.8,3.6,No,High School,Yes,No,No,72.7
STU1274,Male,17,2.3,94.6,48.7,5.5,3.2,Yes,High School,Yes,No,No,73.2
STU1275,Female,17,5.5,81.7,48.7,8.7,4.0,Yes,PhD,Yes,Yes,Yes,87.1
STU1276,Male,18,4.9,100.0,75.2,8.4,2.0,Yes,Bachelors,Yes,No,No,97.0
STU1277,Male,18,3.2,84.7,47.8,7.0,5.9,No,Masters,No,No,No,64.6
